Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2019;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;270
2022;112;MODEL S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2023;112;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2012;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;265
2021;112;MODEL X;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2021;112;MODEL S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2017;112;MODEL 3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220
2023;112;MODEL S;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2020;112;MODEL S;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;337
2010;112;ROADSTER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;245
2011;112;ROADSTER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;245
2008;112;ROADSTER;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;220
2018;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;97
2018;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;13
2023;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20
2014;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;72
2022;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;30
2014;113;I3;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;81
2021;113;X3;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2016;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;72
2016;113;X5;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2017;113;I3;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;97
