Census_Id;Id_county;Name_City
53029970500;5;Oak Harbor
53067012412;3;Yelm
53033002200;1;Seattle
53033001600;1;Seattle
53063001200;11;Spokane
53061053801;4;Monroe
53077002801;2;Yakima
53033001100;1;Seattle
53067012532;3;Yelm
53061052203;4;Monroe
53061052119;4;Everett
53037975201;9;Cle Elum
53035080900;6;Bremerton
53033000800;1;Seattle
53077002801;2;Yakima
53061051804;4;Lynnwood
53033022606;1;Kirkland
53035940100;6;Poulsbo
53061052005;4;Bothell
53061041609;4;Everett
53061051916;4;Bothell
53033023500;1;Bellevue
53071920702;10;Walla Walla
53033032313;1;Redmond
53057952600;8;Mount Vernon
53033022605;1;Redmond
53061052114;4;Everett
53033006701;1;Seattle
53033012100;1;Seattle
53061051918;4;Bothell
53033024904;1;Bellevue
53061041202;4;Everett
53033023603;1;Bellevue
53061052122;4;Snohomish
53057952401;8;Mount Vernon
53061051931;4;Lynnwood
53033022803;1;Redmond
53033031208;1;Auburn
53033024001;1;Bellevue
53057951102;8;Concrete
53033032321;1;Redmond
53075000202;7;Pullman
53035092901;6;Port Orchard
53033000500;1;Seattle
53077001602;2;Yakima
53061051701;4;Lynnwood
53061052006;4;Mill Creek
53061052203;4;Monroe
53067011300;3;Lacey
53033023902;1;Bellevue
53067011100;3;Olympia
53033006701;1;Seattle
53061041606;4;Everett
53061042005;4;Edmonds
53029971800;5;Freeland
53033027200;1;Tukwila
53061041304;4;Everett
53035080300;6;Bremerton
53029971000;5;Coupeville
53033000402;1;Seattle
53077000402;2;Yakima
53033022006;1;Kirkland
53033022702;1;Kirkland
53033000202;1;Seattle
53067011902;3;Olympia
53071920301;10;Walla Walla
53007960203;12;Leavenworth
53061052903;4;Marysville
53061050300;4;Edmonds
53033028500;1;Seatac
53067012211;3;Olympia
53061052203;4;Monroe
53067011500;3;Olympia
53007960803;12;Wenatchee
53033000800;1;Seattle
53025010903;13;Moses Lake
53061051916;4;Bothell
53033009500;1;Seattle
53063002600;11;Spokane
53057951800;8;Burlington
53025010100;13;Coulee City
53061052108;4;Snohomish
53033022102;1;Bothell
53057950803;8;Sedro-Woolley
53033009600;1;Seattle
53061051928;4;Bothell
53067011421;3;Lacey
53007961304;12;Wenatchee
53033025001;1;Bellevue
53033022001;1;Bothell
53033006500;1;Seattle
53061050102;4;Lynnwood
53057950802;8;Bow
53033022005;1;Kirkland
53061052107;4;Bothell
53033022005;1;Kirkland
53057951102;8;Concrete
53037975202;9;Ellensburg
53061052113;4;Snohomish
53035090300;6;Silverdale
53033029309;1;Renton
53061051918;4;Bothell
53035091400;6;Bremerton
53035092000;6;Seabeck
53033032220;1;Issaquah
53061050900;4;Edmonds
53033028700;1;Des Moines
53033006400;1;Seattle
53071920801;10;Walla Walla
53035091002;6;Bainbridge Island
53033023100;1;Bellevue
53033032318;1;Sammamish
53061042003;4;Edmonds
53035091206;6;Silverdale
53061050200;4;Edmonds
53033032221;1;Issaquah
53033028200;1;Tukwila
53033007203;1;Seattle
53061051500;4;Lynnwood
53061051938;4;Bothell
53033024901;1;Bellevue
53065950102;14;Rice
53061050700;4;Edmonds
53061052203;4;Monroe
53067010802;3;Olympia
53061041202;4;Everett
53035090901;6;Bainbridge Island
53061042006;4;Mukilteo
53033023500;1;Bellevue
53033003500;1;Seattle
53061052710;4;Marysville
53061051916;4;Bothell
53029971000;5;Coupeville
53065950800;14;Chewelah
53057940600;8;Anacortes
53035080600;6;Bremerton
53061051938;4;Bothell
53061051917;4;Bothell
53061051200;4;Mountlake Terrace
53033032325;1;Redmond
53061040900;4;Everett
53061052107;4;Bothell
53033022501;1;Kirkland
53033032220;1;Issaquah
53029972100;5;Clinton
53033002000;1;Seattle
53033027702;1;Vashon
53033022802;1;Redmond
53033023604;1;Bellevue
53067012610;3;Tenino
53061052005;4;Mill Creek
53061040400;4;Everett
53067012331;3;Olympia
53077000100;2;Yakima
53067012330;3;Lacey
53061050403;4;Edmonds
53035090202;6;Poulsbo
53037975101;9;Cle Elum
53037975102;9;South Cle Elum
53061052122;4;Snohomish
53029971900;5;Langley
53033032316;1;Sammamish
53029972100;5;Clinton
53061041813;4;Everett
53033021904;1;Kirkland
53035092802;6;Port Orchard
53061051914;4;Bothell
53061052009;4;Bothell
53033022402;1;Kirkland
53033032323;1;Redmond
53067012532;3;Yelm
53007960501;12;Cashmere
53007960100;12;Entiat
53033011901;1;Seattle
53061041301;4;Mukilteo
53061050700;4;Edmonds
53025011001;13;Moses Lake
53071920801;10;Walla Walla
53033022703;1;Kirkland
53033025006;1;Bellevue
53033000601;1;Seattle
53061052108;4;Snohomish
53033024901;1;Bellevue
53037975104;9;Cle Elum
53011041329;15;Vancouver
53033029507;1;Kent
53067012610;3;Olympia
53061041609;4;Everett
53067011822;3;Olympia
53029971900;5;Langley
53057940301;8;Anacortes
53061051402;4;Lynnwood
53033021903;1;Kirkland
53061053604;4;Granite Falls
53061052114;4;Everett
53035091206;6;Silverdale
53077002801;2;Yakima
53033000201;1;Seattle
53061051914;4;Brier
53065950600;14;Colville
53033032325;1;Redmond
53033023805;1;Bellevue
53067012221;3;Olympia
53061042001;4;Mukilteo
53057951700;8;Burlington
53061052114;4;Everett
53033005902;1;Seattle
53033003000;1;Seattle
53033022604;1;Kirkland
53033031206;1;Auburn
53035090800;6;Bainbridge Island
53033020800;1;Shoreline
